"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-08-28","6.71",",,W","16.1",",,W","25.1",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-08-29","4.92",",,W","12.1",",,W","21.0",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-08-30","4.47",",,W","12.1",",,W","15.0",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-08-31","5.37",",,W","18.1",",,W","23.9",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-09-01","2.91",",,W","14.1",",,W","18.1",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-09-02","4.03",",,W","23.9",",,W","31.1",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-09-03","0.89",",,W","8.1",",,W","14.1",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-09-04","3.80",",,W","13.0",",,W","21.0",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-09-05","3.36",",,W","8.9",",,W","16.1",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-09-06","5.14",",,W","44.1",",,W","57.9",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-09-07","5.82",",,W","14.1",",,W","23.9",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-09-08","10.07",",,W","23.0",",,W","29.1",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-09-09","10.51",",,W","17.0",",,W","21.0",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-09-10","4.47",",,W","10.1",",,W","14.1",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-09-11","6.26",",,W","15.0",",,W","21.9",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-09-12","5.82",",,W","13.0",",,W","21.9",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-09-13","4.70",",,W","15.0",",,W","21.9",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-09-14","3.13",",,W","12.1",",,W","21.0",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-09-15","2.46",",,W","10.1",",,W","15.0",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-09-16","4.70",",,W","15.0",",,W","21.0",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-09-17","2.01",",,W","8.9",",,W","14.1",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-09-18","2.68",",,W","14.1",",,W","19.9",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-09-19","8.05",",,W","16.1",",,W","19.9",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-09-20","3.58",",,W","13.0",",,W","17.0",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-09-21","3.80",",,W","19.9",",,W","28.0",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-09-22","11.18",",,W","23.0",",,W","32.0",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-09-23","3.36",",,W","12.1",",,W","21.9",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-09-24","10.07",",,W","21.9",",,W","25.9",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-09-25","8.28",",,W","18.1",",,W","25.9",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-09-26","4.03",",,W","13.0",",,W","23.0",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-09-27","2.01",",,W","10.1",",,W","15.0",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-09-28","1.12",",,W","8.9",",,W","13.0",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-09-29","0.45",",,W","6.0",",,W","8.1",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-09-30","3.58",",,W","14.1",",,W","15.0",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-10-01","3.80",",,W","10.1",",,W","15.0",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-10-02","2.91",",,W","12.1",",,W","15.0",",,W"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2014-10-03","6.26",",,W","16.1",",,W","21.0",",,W"
